交易編號,日期,類別,品項,金額,付款方式,商家,備註
T001,2026-08-01,餐飲,早餐蛋餅,55,現金,巷口早餐店,
T002,2026/08/01,交通,捷運加值,500,悠遊卡,捷運站,通勤
T003,2026-08-02,飲料,珍珠奶茶,$65,LINE Pay,茶香日常,半糖少冰
T004,2026-08-03,餐飲,雞腿便當,120,現金,好食便當,
T005,2026-08-03,娛樂,電影票, 320 ,信用卡,星光影城,週末
T006,2026-08-04,生活,洗衣精,189,信用卡,生活賣場,
T007,2026-08-05,餐飲,火鍋,450,信用卡,暖心小火鍋,朋友聚餐
T008,2026-08-06,,咖啡,90,現金,轉角咖啡,類別漏填
T009,錯誤日期,交通,計程車,280,信用卡,城市車隊,下雨
T010,2026-08-08,網購,運動鞋,"1,680",信用卡,好買商城,尺寸太小
T011,2026-08-09,餐飲,鹽酥雞,180,現金,夜貓鹽酥雞,
T012,2026-08-10,訂閱,音樂會員,149,信用卡,音樂平台,每月
T013,2026-08-10,訂閱,影音會員,270,信用卡,影音平台,每月
T014,2026-08-11,餐飲,牛肉麵,160,現金,老街麵館,
T015,2026-08-12,飲料,美式咖啡,80,行動支付,便利商店,
T016,2026-08-13,生活,衛生紙,299,信用卡,生活賣場,特價
T017,2026-08-14,交通,共享機車,75,行動支付,移動租車,
T018,2026-08-15,餐飲,披薩,399,信用卡,週五披薩,同事聚餐
T018,2026-08-15,餐飲,披薩,399,信用卡,週五披薩,重複匯入
T019,2026-08-16,娛樂,桌遊店,240,現金,歡樂桌遊,
T020,2026-08-17,飲料,綠茶,not_available,現金,茶香日常,金額漏填
T021,2026-08-18,餐飲,早餐三明治,70,,巷口早餐店,付款方式漏填
T022,2026-08-19,網購,手機殼,-299,信用卡,好買商城,退款
T023,2026-08-20,交通,台鐵車票,375,信用卡,台鐵,返鄉
T024,2026-08-21,餐飲,壽司,560,信用卡,海風壽司,家人聚餐
T025,2026-08-22,生活,理髮,350,現金,俐落髮廊,
T026,2026-08-23,餐飲,滷肉飯,65,現金,阿嬤滷肉飯,
T027,2026-08-24,飲料,拿鐵,130,LINE PAY,轉角咖啡,
T028,2026-08-25,娛樂,KTV,620,信用卡,歡唱世界,朋友聚會
T029,2026-08-26,餐飲,義大利麵,280,信用卡,轉角義大利麵,
T030,2026-08-27,交通,公車,30,悠遊卡,市區公車,
T031,2026-08-28,生活,健身房月費,999,轉帳,活力健身房,
T032,2026-08-29,餐飲,早午餐,260,行動支付,日光早午餐,
T033,2026-08-30,飲料,珍珠奶茶,65,line pay,茶香日常,去冰
T034,2026-08-31,餐飲,泡麵,45,現金,便利商店,月底了
